region	p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster
chr6:118335693-118337685	1.05E-55	0.537034657	0.125	0.049	2.89E-50	A4
chr18:78052585-78054722	1.51E-55	0.506139863	0.132	0.053	4.17E-50	A4
chr5:115062626-115063738	1.57E-55	0.564490763	0.114	0.043	4.32E-50	A4
chr4:41102677-41103705	3.96E-55	0.558392182	0.109	0.04	1.09E-49	A4
chr1:58761235-58762206	4.12E-55	0.582625728	0.109	0.04	1.14E-49	A4
chr8:94766589-94768075	4.54E-55	0.507232858	0.122	0.047	1.25E-49	A4
chr1:131586536-131587599	7.71E-55	0.533598522	0.123	0.048	2.13E-49	A4
chr10:83177076-83179119	8.20E-55	0.564464172	0.11	0.041	2.26E-49	A4
chr12:51864430-51866866	8.81E-55	0.516787695	0.133	0.055	2.43E-49	A4
chr17:14336449-14338685	2.44E-54	0.583945969	0.107	0.039	6.73E-49	A4
chr16:19760028-19761564	4.83E-54	0.522004757	0.126	0.05	1.33E-48	A4
chr16:31567552-31569143	5.71E-54	0.589903138	0.106	0.039	1.57E-48	A4
chr9:96649549-96651132	8.62E-54	0.532585521	0.117	0.045	2.38E-48	A4
chr1:181370946-181373093	1.50E-53	0.502823588	0.126	0.05	4.15E-48	A4
chr1:179197804-179199317	2.92E-53	0.569925037	0.104	0.038	8.04E-48	A4
chr11:19841968-19844209	4.83E-53	0.564105515	0.107	0.04	1.33E-47	A4
chr9:95628317-95629172	5.51E-53	0.527818931	0.123	0.049	1.52E-47	A4
chr10:84489793-84490687	6.07E-53	0.581063755	0.111	0.042	1.67E-47	A4
chr13:34191892-34194161	6.91E-53	0.501179534	0.123	0.049	1.90E-47	A4
chr11:114757265-114759467	7.01E-53	0.543540987	0.117	0.046	1.93E-47	A4
chr12:31056042-31058696	8.67E-53	0.543659323	0.116	0.045	2.39E-47	A4
chr16:95741096-95742732	9.31E-53	0.536080179	0.119	0.047	2.56E-47	A4
chr1:90221162-90223035	9.76E-53	0.529988564	0.115	0.044	2.69E-47	A4
chr14:25463020-25465677	1.62E-52	0.508518043	0.125	0.05	4.48E-47	A4
chr8:70902029-70904908	2.56E-52	0.568060192	0.112	0.043	7.06E-47	A4
chr1:74380695-74382465	2.59E-52	0.573519164	0.104	0.038	7.14E-47	A4
chr10:111745872-111747353	3.27E-52	0.522208299	0.116	0.045	9.01E-47	A4
chr10:99561024-99562292	3.46E-52	0.559182214	0.103	0.038	9.52E-47	A4
chr11:100198202-100199310	3.65E-52	0.571322268	0.11	0.042	1.01E-46	A4
chr16:18470565-18473089	5.66E-52	0.586930564	0.103	0.038	1.56E-46	A4
chr16:24182829-24183906	9.19E-52	0.521945553	0.119	0.047	2.53E-46	A4
chr12:77078514-77080511	1.72E-51	0.531493473	0.115	0.045	4.75E-46	A4
chr14:55729553-55731173	2.89E-51	0.511049328	0.115	0.045	7.97E-46	A4
chr18:64944425-64946331	4.95E-51	0.554272151	0.113	0.044	1.36E-45	A4
chr5:135537235-135538931	5.00E-51	0.600183665	0.102	0.038	1.38E-45	A4
chr12:77044836-77046515	5.16E-51	0.533760299	0.114	0.044	1.42E-45	A4
chr2:32427673-32429274	2.93E-50	0.530325513	0.116	0.046	8.08E-45	A4
chr10:86264232-86265378	1.85E-49	0.516547012	0.117	0.047	5.10E-44	A4
chr2:33358738-33361783	2.59E-49	0.500371121	0.125	0.052	7.13E-44	A4
chr4:139524072-139525612	3.95E-49	0.55109437	0.104	0.039	1.09E-43	A4
chr18:5509667-5510820	5.61E-49	0.513282507	0.119	0.049	1.55E-43	A4
chr13:38533211-38534486	6.52E-49	0.509253731	0.117	0.047	1.80E-43	A4
chr14:24228223-24230427	1.31E-48	0.530316886	0.114	0.046	3.60E-43	A4
chr11:60436300-60437273	1.66E-48	0.504550466	0.12	0.05	4.56E-43	A4
chr12:82085363-82086679	1.93E-48	0.511318418	0.12	0.049	5.30E-43	A4
chr7:34130482-34132213	5.76E-48	0.550706967	0.105	0.041	1.59E-42	A4
chr17:25342989-25346139	9.14E-48	0.519933202	0.111	0.044	2.52E-42	A4
chr13:13538247-13539572	9.68E-48	0.559101418	0.105	0.041	2.67E-42	A4
chr4:134724954-134726462	9.95E-48	0.518339525	0.106	0.041	2.74E-42	A4
chr6:86051843-86052949	1.15E-47	0.536501311	0.101	0.038	3.18E-42	A4
chr5:32088646-32089968	1.58E-47	0.529083339	0.108	0.043	4.35E-42	A4
chr5:66517783-66519043	1.58E-47	0.502476341	0.119	0.049	4.36E-42	A4
chr9:15025979-15027485	2.23E-47	0.53348045	0.103	0.04	6.14E-42	A4
chr4:119886918-119888605	2.73E-47	0.503667941	0.115	0.046	7.52E-42	A4
chr11:95800192-95801359	8.13E-47	0.519879715	0.103	0.04	2.24E-41	A4
chr10:99396485-99397197	1.01E-46	0.515516165	0.112	0.045	2.77E-41	A4
chr3:116023783-116024924	2.25E-46	0.504609015	0.11	0.045	6.21E-41	A4
chr12:3344137-3345786	3.05E-46	0.53954141	0.102	0.04	8.41E-41	A4
chr14:32304500-32305576	3.34E-46	0.509311776	0.111	0.045	9.22E-41	A4
chr13:69767243-69768750	4.00E-46	0.510866988	0.108	0.043	1.10E-40	A4
chr8:14467922-14469030	4.72E-46	0.513972637	0.104	0.041	1.30E-40	A4
chr7:28158766-28160048	7.08E-46	0.516326065	0.106	0.042	1.95E-40	A4
chr2:145840792-145844132	7.09E-46	0.518072385	0.101	0.039	1.95E-40	A4
chr7:128309716-128311099	3.27E-45	0.501432669	0.111	0.045	9.02E-40	A4
chr5:144978289-144979821	5.81E-45	0.507518576	0.102	0.04	1.60E-39	A4
chr2:128226590-128227756	1.09E-44	0.54802676	0.101	0.04	3.01E-39	A4
chr11:110510910-110512044	1.15E-44	0.515607125	0.11	0.045	3.18E-39	A4
chr8:57710282-57712109	3.33E-44	0.519300364	0.106	0.043	9.18E-39	A4
chr12:69834062-69834901	1.95E-43	0.506237496	0.103	0.041	5.38E-38	A4
chr12:116465946-116467665	4.17E-43	0.512691044	0.101	0.041	1.15E-37	A4
chr7:64238417-64240775	1.41E-42	0.512175631	0.101	0.041	3.89E-37	A4
chr4:53445407-53447107	1.96E-42	0.50724714	0.101	0.041	5.39E-37	A4
chr1:34505026-34506126	3.02E-39	0.500386536	0.101	0.043	8.32E-34	A4
chr13:23750893-23753205	1.15E-93	0.505538606	0.485	0.265	3.18E-88	A5
chr2:14603640-14605567	5.69E-89	0.55326731	0.43	0.22	1.57E-83	A5
chr3:107516715-107518617	3.14E-79	0.559751495	0.394	0.2	8.67E-74	A5
chr2:140394686-140396453	1.57E-60	0.511300375	0.359	0.19	4.33E-55	A5
chr3:132948370-132951036	4.08E-59	0.504553712	0.361	0.197	1.12E-53	A5
chr2:136531684-136532837	3.21E-56	0.521388064	0.334	0.176	8.85E-51	A5
chr13:23756829-23757711	1.20E-53	0.520469782	0.331	0.18	3.30E-48	A5
chr16:58522514-58523951	2.11E-51	0.573301779	0.276	0.136	5.81E-46	A5
chr7:143977581-143979918	3.71E-50	0.511541361	0.317	0.171	1.02E-44	A5
chrX:167381501-167383176	2.55E-48	0.503489265	0.315	0.173	7.03E-43	A5
chr11:109472035-109474612	9.84E-48	0.500728935	0.316	0.175	2.71E-42	A5
chr2:38350344-38353559	3.03E-39	0.523279324	0.263	0.144	8.36E-34	A5
chr3:92080252-92082280	4.06E-39	0.517444545	0.266	0.146	1.12E-33	A5
chr11:90002281-90003260	5.95E-39	0.562481179	0.236	0.122	1.64E-33	A5
chr6:122763161-122765463	5.08E-33	0.55168374	0.212	0.111	1.40E-27	A5
chr2:104848377-104850286	5.87E-33	0.522594986	0.227	0.122	1.62E-27	A5
chr2:148043450-148047242	5.11E-32	0.614493588	0.172	0.082	1.41E-26	A5
chr19:24554809-24557087	7.67E-30	0.52709658	0.207	0.111	2.11E-24	A5
chr9:8134046-8135032	1.21E-29	0.514213145	0.202	0.106	3.32E-24	A5
chr4:28814786-28815996	2.90E-26	0.598247228	0.151	0.073	7.98E-21	A5
chr4:24850398-24851573	7.32E-23	0.666224843	0.11	0.049	2.02E-17	A5
chr10:5920903-5923061	1.83E-22	0.546084166	0.154	0.08	5.04E-17	A5
chr9:121995451-121996388	3.79E-22	0.552684804	0.143	0.072	1.05E-16	A5
chr15:74517095-74521176	1.21E-21	0.524492062	0.158	0.084	3.32E-16	A5
chr5:66259562-66260418	1.29E-21	0.52720369	0.158	0.084	3.56E-16	A5
chrX:75474980-75475957	4.27E-20	0.515720129	0.146	0.077	1.18E-14	A5
chr3:153904221-153906430	2.14E-19	0.563892382	0.127	0.065	5.90E-14	A5
chr4:8238377-8239951	8.19E-19	0.562343715	0.127	0.066	2.26E-13	A5
chr9:27298498-27300796	5.01E-18	0.527578293	0.131	0.069	1.38E-12	A5
chr2:172938540-172940922	5.63E-18	0.541589063	0.118	0.06	1.55E-12	A5
chr7:87246389-87247247	1.45E-17	0.507380015	0.139	0.076	3.99E-12	A5
chr12:118198206-118199245	2.24E-17	0.501030794	0.138	0.075	6.17E-12	A5
chr17:17843372-17844556	2.51E-15	0.541112101	0.106	0.055	6.91E-10	A5
chr6:28214557-28216120	5.94E-15	0.52516402	0.114	0.061	1.64E-09	A5
chr7:109780895-109782187	1.50E-13	0.500563253	0.11	0.06	4.14E-08	A5
chr16:39466408-39467339	3.03E-160	1.13120446	0.207	0.037	8.34E-155	A6
chr2:156453029-156457998	7.47E-155	0.573035388	0.583	0.223	2.06E-149	A6
chr8:102783617-102785684	9.34E-146	0.883182313	0.26	0.059	2.57E-140	A6
chr5:129298203-129299890	4.66E-134	0.927110415	0.24	0.056	1.28E-128	A6
chr9:122135157-122136549	1.61E-129	0.906845299	0.241	0.058	4.43E-124	A6
chr15:86200870-86205551	2.01E-115	0.510523213	0.527	0.215	5.53E-110	A6
chr17:45228614-45231297	8.97E-109	0.80242099	0.249	0.069	2.47E-103	A6
chr1:75262784-75264636	4.81E-93	0.665234402	0.278	0.09	1.32E-87	A6
chr16:17123850-17125731	1.03E-91	0.652542599	0.29	0.097	2.84E-86	A6
chr14:63346052-63349008	6.84E-87	0.64423793	0.285	0.098	1.88E-81	A6
chr9:54642194-54643923	8.57E-87	0.633883078	0.292	0.102	2.36E-81	A6
chr5:129258834-129260753	7.56E-86	1.165333945	0.108	0.019	2.08E-80	A6
chr15:36875301-36876725	1.62E-84	0.668114866	0.26	0.086	4.45E-79	A6
chr5:129188899-129193142	2.82E-84	0.511036343	0.394	0.162	7.78E-79	A6
chr7:24485123-24487551	1.00E-82	0.590015146	0.295	0.104	2.77E-77	A6
chr5:105679163-105681150	1.28E-82	1.023591652	0.127	0.026	3.52E-77	A6
chr18:38702874-38704087	2.44E-78	0.777344597	0.188	0.053	6.73E-73	A6
chr11:99104363-99109000	5.20E-78	0.570849716	0.296	0.109	1.43E-72	A6
chr9:60998032-60999793	2.58E-77	0.68435819	0.229	0.074	7.10E-72	A6
chr12:3822941-3826367	2.87E-77	0.53201962	0.328	0.127	7.91E-72	A6
chr11:100112431-100114412	3.31E-77	0.598407948	0.288	0.106	9.12E-72	A6
chr8:122154256-122156730	1.28E-74	0.52240835	0.324	0.127	3.54E-69	A6
chr1:75292452-75293763	2.13E-71	0.883976188	0.141	0.035	5.87E-66	A6
chr9:56776624-56779879	2.14E-70	0.694537137	0.193	0.059	5.89E-65	A6
chr8:64725795-64727028	5.39E-70	0.606199962	0.245	0.086	1.49E-64	A6
chr8:119685553-119688091	5.67E-70	0.558514759	0.27	0.099	1.56E-64	A6
chr18:13972308-13972988	1.78E-69	0.794289266	0.157	0.042	4.90E-64	A6
chr9:66988174-66992249	6.16E-69	0.516419649	0.314	0.127	1.70E-63	A6
chr17:66617559-66619331	4.56E-68	0.987655141	0.11	0.024	1.26E-62	A6
chr12:17583362-17585833	1.82E-67	0.85516094	0.132	0.032	5.03E-62	A6
chr13:56032089-56034109	3.40E-67	0.854676248	0.134	0.034	9.36E-62	A6
chr4:63068520-63069418	1.57E-66	0.937711253	0.121	0.028	4.32E-61	A6
chr4:117656653-117660101	1.77E-66	0.547180521	0.288	0.114	4.87E-61	A6
chr6:34747367-34750023	1.51E-65	0.660512543	0.186	0.058	4.15E-60	A6
chr9:56756977-56759198	2.61E-65	0.716335491	0.174	0.052	7.19E-60	A6
chr8:123137141-123139114	7.73E-65	0.630963929	0.217	0.075	2.13E-59	A6
chr11:104016494-104018264	1.17E-64	0.574579041	0.241	0.087	3.22E-59	A6
chr15:10814037-10817085	1.50E-63	0.512291108	0.293	0.119	4.14E-58	A6
chr2:33852477-33854225	2.58E-63	0.548790386	0.259	0.099	7.11E-58	A6
chr4:29094261-29095380	2.97E-63	0.847532598	0.126	0.031	8.17E-58	A6
chr15:103470378-103472180	3.42E-63	0.916273019	0.11	0.025	9.43E-58	A6
chr10:93324951-93327111	4.45E-63	0.584867949	0.235	0.085	1.23E-57	A6
chr8:125415046-125417010	9.33E-63	0.613973624	0.223	0.08	2.57E-57	A6
chr6:84313322-84316625	1.36E-62	0.502504968	0.292	0.118	3.74E-57	A6
chr5:21246203-21247298	2.15E-62	0.947670074	0.104	0.023	5.93E-57	A6
chr12:112516010-112517937	4.00E-62	0.640969408	0.194	0.064	1.10E-56	A6
chr15:95821962-95825254	5.71E-62	0.567769389	0.242	0.09	1.57E-56	A6
chr19:10838976-10839981	6.58E-62	0.909597532	0.115	0.027	1.81E-56	A6
chr14:32014453-32016254	1.62E-61	0.769943716	0.148	0.042	4.46E-56	A6
chr8:71637291-71639000	1.95E-61	0.88559984	0.119	0.029	5.37E-56	A6
chr7:133869366-133871053	1.15E-60	0.806767015	0.126	0.032	3.17E-55	A6
chr15:38725288-38726471	2.09E-60	0.695205461	0.164	0.05	5.75E-55	A6
chr11:112757876-112759188	4.32E-60	0.603137404	0.205	0.07	1.19E-54	A6
chr6:126574601-126577128	9.48E-60	0.80954343	0.133	0.036	2.61E-54	A6
chr17:87738566-87739819	1.85E-59	0.518348196	0.259	0.102	5.09E-54	A6
chr14:24535136-24536220	3.01E-59	0.930115906	0.108	0.025	8.31E-54	A6
chr19:53565606-53566854	3.98E-59	0.718443792	0.16	0.049	1.10E-53	A6
chr18:13969756-13971608	9.70E-58	0.847035643	0.114	0.028	2.67E-52	A6
chr12:3370620-3372364	2.81E-57	0.616749205	0.193	0.066	7.75E-52	A6
chr12:25131277-25133220	3.22E-57	0.615110337	0.202	0.072	8.88E-52	A6
chr19:53272858-53274378	1.14E-56	0.544173799	0.237	0.091	3.15E-51	A6
chr5:76436910-76438530	2.55E-56	0.713161487	0.147	0.044	7.03E-51	A6
chr7:144023329-144026868	1.11E-55	0.582381963	0.202	0.072	3.04E-50	A6
chr9:120824972-120827711	4.37E-55	0.642809677	0.17	0.056	1.20E-49	A6
chr8:123691041-123693598	3.84E-54	0.523013937	0.233	0.09	1.06E-48	A6
chr17:14336449-14338685	5.99E-54	0.697405313	0.142	0.042	1.65E-48	A6
chr10:82961369-82963205	1.18E-53	0.67344368	0.172	0.058	3.26E-48	A6
chr17:35038848-35040095	1.51E-53	0.767120165	0.134	0.039	4.17E-48	A6
chr14:48288248-48290807	2.25E-53	0.623538506	0.195	0.071	6.20E-48	A6
chr5:129195098-129197667	3.89E-53	0.846909729	0.104	0.026	1.07E-47	A6
chr5:140148676-140151775	5.34E-53	0.512024292	0.258	0.107	1.47E-47	A6
chr12:8863801-8866536	8.87E-53	0.546182029	0.211	0.079	2.44E-47	A6
chr14:30669619-30672666	1.41E-52	0.51253206	0.243	0.098	3.88E-47	A6
chr2:44976380-44978260	1.78E-52	0.62146175	0.173	0.059	4.89E-47	A6
chr2:174226415-174227729	2.64E-52	0.759579402	0.124	0.035	7.28E-47	A6
chr17:30464145-30465999	4.08E-52	0.659141229	0.155	0.05	1.12E-46	A6
chr5:92997164-92998453	1.04E-51	0.651300955	0.158	0.051	2.88E-46	A6
chr13:31165598-31166995	1.59E-51	0.634926517	0.169	0.057	4.38E-46	A6
chr18:9551931-9553751	2.84E-51	0.645938652	0.167	0.057	7.81E-46	A6
chr11:76561140-76562882	5.41E-51	0.733681837	0.134	0.04	1.49E-45	A6
chr12:8808834-8810060	9.06E-51	0.699005091	0.138	0.042	2.50E-45	A6
chr18:5509667-5510820	2.00E-50	0.664085705	0.157	0.052	5.52E-45	A6
chr7:144281110-144285142	3.39E-50	0.531690643	0.208	0.079	9.34E-45	A6
chr2:153120980-153123242	5.43E-50	0.609698276	0.172	0.06	1.50E-44	A6
chr11:79751282-79754342	1.81E-49	0.609372901	0.175	0.062	5.00E-44	A6
chr7:109483563-109485082	2.96E-49	0.7682088	0.114	0.031	8.16E-44	A6
chr9:71287592-71289300	3.17E-49	0.784285234	0.107	0.028	8.74E-44	A6
chr14:65112014-65113336	4.54E-49	0.543173481	0.193	0.072	1.25E-43	A6
chr8:14472681-14474187	4.78E-49	0.601293775	0.18	0.065	1.32E-43	A6
chr11:61119533-61120442	5.18E-49	0.693333788	0.136	0.042	1.43E-43	A6
chr15:7750128-7751366	1.69E-48	0.706378068	0.142	0.046	4.65E-43	A6
chr14:63376607-63377804	1.80E-48	0.563792696	0.18	0.064	4.96E-43	A6
chr7:109454834-109458392	1.83E-48	0.551460617	0.192	0.071	5.05E-43	A6
chr3:90589131-90590563	2.83E-48	0.630126147	0.163	0.056	7.79E-43	A6
chr9:43668138-43670287	4.88E-48	0.532160483	0.212	0.084	1.34E-42	A6
chr8:120014525-120016879	7.54E-48	0.535679512	0.193	0.072	2.08E-42	A6
chr15:80021623-80023354	1.19E-47	0.61702249	0.167	0.059	3.29E-42	A6
chr17:13554974-13556721	1.53E-47	0.609259656	0.173	0.062	4.22E-42	A6
chr17:35590011-35592455	2.30E-47	0.581804162	0.183	0.068	6.33E-42	A6
chr8:125348646-125350116	2.55E-47	0.549908074	0.191	0.072	7.03E-42	A6
chr14:121371232-121373350	4.63E-47	0.533691049	0.183	0.067	1.28E-41	A6
chr19:55990655-55993378	6.96E-47	0.581192629	0.164	0.057	1.92E-41	A6
chr6:117504839-117506450	2.39E-46	0.665759451	0.131	0.041	6.57E-41	A6
chr15:103370203-103372185	3.05E-46	0.610808425	0.152	0.051	8.41E-41	A6
chrX:74424032-74426079	3.23E-46	0.669421444	0.139	0.045	8.91E-41	A6
chr9:43261405-43264469	5.37E-46	0.522401019	0.196	0.076	1.48E-40	A6
chr14:70504582-70506631	1.16E-45	0.764036603	0.106	0.029	3.20E-40	A6
chr8:123684332-123685358	3.08E-45	0.578382994	0.173	0.064	8.50E-40	A6
chr1:179197804-179199317	3.51E-45	0.706445839	0.129	0.041	9.67E-40	A6
chr11:77481494-77484516	3.70E-45	0.522631722	0.205	0.083	1.02E-39	A6
chr11:95630157-95631957	6.51E-45	0.585690321	0.158	0.056	1.79E-39	A6
chr18:64971205-64972829	1.12E-44	0.642303201	0.138	0.045	3.08E-39	A6
chr15:27516999-27518594	1.76E-44	0.560398445	0.181	0.069	4.86E-39	A6
chr16:92522819-92525693	2.40E-44	0.680365682	0.132	0.042	6.61E-39	A6
chr19:5011847-5013856	5.82E-44	0.501277696	0.212	0.088	1.60E-38	A6
chr17:12094580-12095950	6.51E-44	0.501096518	0.199	0.079	1.79E-38	A6
chr8:107197638-107198891	7.54E-44	0.551069491	0.182	0.07	2.08E-38	A6
chr12:109798315-109799859	1.83E-43	0.533180669	0.188	0.073	5.04E-38	A6
chr3:95979615-95982093	1.87E-43	0.723911264	0.11	0.032	5.14E-38	A6
chr19:53507213-53508314	2.15E-43	0.686653275	0.125	0.039	5.92E-38	A6
chr15:84294491-84296023	3.07E-43	0.584674644	0.158	0.057	8.45E-38	A6
chr1:56681113-56681974	4.14E-43	0.683461925	0.122	0.038	1.14E-37	A6
chr6:122702047-122703872	7.07E-43	0.500029789	0.199	0.08	1.95E-37	A6
chr5:139085850-139087855	7.59E-43	0.689033123	0.121	0.038	2.09E-37	A6
chr2:4554981-4555996	7.92E-43	0.625129496	0.134	0.044	2.18E-37	A6
chr14:76479971-76482903	1.12E-42	0.580865466	0.159	0.058	3.08E-37	A6
chr2:148184272-148185702	2.05E-42	0.606617711	0.145	0.05	5.65E-37	A6
chr13:60430674-60432645	2.49E-42	0.593811033	0.146	0.05	6.86E-37	A6
chr11:5250753-5253259	1.09E-41	0.543037706	0.161	0.059	3.00E-36	A6
chr3:152567750-152569706	1.27E-41	0.501256003	0.188	0.075	3.51E-36	A6
chr8:70642823-70643686	1.97E-41	0.503911988	0.186	0.073	5.43E-36	A6
chr2:127760143-127762028	2.85E-41	0.526122164	0.187	0.075	7.85E-36	A6
chr16:75717520-75718520	3.29E-41	0.705586565	0.11	0.033	9.07E-36	A6
chr2:129192103-129193327	4.37E-41	0.66067851	0.137	0.047	1.20E-35	A6
chr18:83894840-83895920	5.17E-41	0.701263753	0.105	0.031	1.42E-35	A6
chr11:113001001-113001923	5.58E-41	0.734071118	0.101	0.029	1.54E-35	A6
chr14:61137182-61138813	5.65E-41	0.708503295	0.116	0.036	1.56E-35	A6
chr11:70192976-70194348	1.05E-40	0.676720825	0.113	0.035	2.89E-35	A6
chr17:46690709-46692479	1.95E-40	0.673295988	0.119	0.038	5.36E-35	A6
chr19:41669570-41672652	2.55E-40	0.601066349	0.152	0.056	7.04E-35	A6
chr9:15119303-15120712	4.35E-40	0.511691744	0.182	0.073	1.20E-34	A6
chr3:104999968-105001856	5.32E-40	0.587201412	0.151	0.055	1.47E-34	A6
chr3:97188622-97189699	5.83E-40	0.521026703	0.182	0.073	1.61E-34	A6
chr11:57089606-57092210	6.83E-40	0.535561828	0.171	0.067	1.88E-34	A6
chr11:90224229-90226369	7.47E-40	0.530350622	0.164	0.063	2.06E-34	A6
chr2:166234087-166236841	7.94E-40	0.513194381	0.184	0.074	2.19E-34	A6
chr11:104114619-104115435	9.12E-40	0.561346668	0.152	0.055	2.51E-34	A6
chr11:99076292-99077450	9.64E-40	0.587332874	0.145	0.052	2.66E-34	A6
chr11:52535465-52538623	2.24E-39	0.588651445	0.139	0.049	6.17E-34	A6
chr17:72958690-72960876	2.56E-39	0.553821562	0.152	0.056	7.05E-34	A6
chr5:119183142-119185128	2.64E-39	0.607721778	0.13	0.044	7.26E-34	A6
chr9:117833356-117834521	4.39E-39	0.547988709	0.155	0.058	1.21E-33	A6
chr11:68035020-68036970	5.74E-39	0.697245796	0.105	0.032	1.58E-33	A6
chr5:119031146-119033007	5.90E-39	0.553845611	0.163	0.063	1.63E-33	A6
chr11:104055631-104057841	6.01E-39	0.721947015	0.107	0.033	1.66E-33	A6
chr11:60436300-60437273	6.25E-39	0.540025574	0.146	0.053	1.72E-33	A6
chr7:66193957-66195262	6.61E-39	0.639701752	0.123	0.041	1.82E-33	A6
chr1:193297747-193299132	6.66E-39	0.624087688	0.14	0.05	1.84E-33	A6
chr2:45234753-45235515	7.49E-39	0.618142723	0.118	0.038	2.06E-33	A6
chr9:15025979-15027485	1.38E-38	0.648574822	0.126	0.043	3.81E-33	A6
chr16:20428592-20430535	1.60E-38	0.505868998	0.192	0.081	4.40E-33	A6
chr17:43406784-43408377	1.74E-38	0.718854042	0.105	0.032	4.80E-33	A6
chr18:38844163-38845083	1.79E-38	0.50159287	0.174	0.069	4.93E-33	A6
chr8:116078372-116079390	1.97E-38	0.602396801	0.144	0.053	5.43E-33	A6
chr12:51864430-51866866	3.22E-38	0.552226805	0.155	0.059	8.88E-33	A6
chr3:65860851-65861981	4.22E-38	0.572193157	0.138	0.049	1.16E-32	A6
chr10:76539253-76543424	4.36E-38	0.62995394	0.117	0.038	1.20E-32	A6
chr15:102044880-102046268	1.02E-37	0.518899937	0.177	0.072	2.82E-32	A6
chr9:120983206-120989165	1.32E-37	0.55616861	0.148	0.055	3.63E-32	A6
chr7:128309716-128311099	1.77E-37	0.561685084	0.136	0.048	4.89E-32	A6
chr11:65386274-65387326	1.96E-37	0.505219818	0.179	0.073	5.41E-32	A6
chr1:54713365-54714277	2.19E-37	0.620633311	0.127	0.044	6.02E-32	A6
chr11:110029032-110029777	2.95E-37	0.621959585	0.126	0.043	8.13E-32	A6
chr1:91860267-91861928	3.92E-37	0.635384309	0.117	0.039	1.08E-31	A6
chr13:52849343-52852800	4.33E-37	0.614966625	0.124	0.043	1.19E-31	A6
chr15:64532214-64534823	4.81E-37	0.664796058	0.113	0.037	1.33E-31	A6
chrX:99334213-99337496	7.95E-37	0.526098692	0.158	0.061	2.19E-31	A6
chr5:74752657-74754557	8.62E-37	0.551096429	0.154	0.06	2.37E-31	A6
chr3:34512311-34513545	9.25E-37	0.661005315	0.111	0.036	2.55E-31	A6
chr9:61055545-61058571	9.67E-37	0.527994379	0.146	0.055	2.66E-31	A6
chr6:126569475-126570708	1.05E-36	0.566322233	0.14	0.052	2.90E-31	A6
chr17:28515334-28516652	1.62E-36	0.598066842	0.126	0.044	4.47E-31	A6
chr2:30524462-30528419	1.67E-36	0.506840055	0.16	0.063	4.60E-31	A6
chr11:119776731-119778719	2.13E-36	0.513094299	0.17	0.069	5.86E-31	A6
chr2:128240207-128241945	2.34E-36	0.54159454	0.16	0.064	6.45E-31	A6
chr15:99504842-99507336	2.98E-36	0.507785836	0.158	0.062	8.22E-31	A6
chr8:126686809-126687721	3.12E-36	0.593587622	0.129	0.046	8.59E-31	A6
chr2:129262984-129264707	4.11E-36	0.580221564	0.138	0.051	1.13E-30	A6
chr11:79863140-79864811	4.70E-36	0.63009732	0.106	0.034	1.30E-30	A6
chr15:7216393-7217882	5.18E-36	0.517143612	0.17	0.07	1.43E-30	A6
chr11:88588695-88590285	6.33E-36	0.573167369	0.143	0.054	1.75E-30	A6
chr1:133771373-133772775	7.34E-36	0.555249585	0.146	0.056	2.02E-30	A6
chr17:69255173-69256966	8.63E-36	0.514581271	0.154	0.06	2.38E-30	A6
chr11:50275203-50276288	1.42E-35	0.55132849	0.158	0.063	3.90E-30	A6
chr16:33903265-33905000	1.66E-35	0.690726311	0.101	0.032	4.57E-30	A6
chr11:60125388-60128623	3.55E-35	0.609038713	0.118	0.041	9.79E-30	A6
chr9:107262971-107265809	4.87E-35	0.519395174	0.151	0.059	1.34E-29	A6
chr14:57057187-57058518	5.10E-35	0.525441208	0.162	0.065	1.41E-29	A6
chr4:137886840-137889421	6.23E-35	0.539120737	0.145	0.055	1.72E-29	A6
chr17:46875762-46877791	7.93E-35	0.554449863	0.141	0.054	2.18E-29	A6
chr5:32088646-32089968	1.79E-34	0.576367077	0.128	0.046	4.93E-29	A6
chr17:15298964-15300739	2.31E-34	0.532813936	0.144	0.055	6.37E-29	A6
chr8:14467922-14469030	3.13E-34	0.604853596	0.123	0.044	8.62E-29	A6
chr19:31663776-31665235	3.49E-34	0.619793353	0.109	0.036	9.63E-29	A6
chr11:35843335-35845297	4.81E-34	0.518058807	0.159	0.065	1.33E-28	A6
chr13:58114755-58116640	6.57E-34	0.552348977	0.146	0.057	1.81E-28	A6
chr9:40611453-40613640	6.66E-34	0.57730185	0.133	0.05	1.84E-28	A6
chr8:121170074-121172989	8.23E-34	0.56271295	0.137	0.052	2.27E-28	A6
chr4:55141402-55142734	8.86E-34	0.65259165	0.108	0.036	2.44E-28	A6
chr2:93350844-93353911	1.33E-33	0.588193269	0.125	0.045	3.67E-28	A6
chr1:133277027-133277967	1.66E-33	0.547866336	0.14	0.054	4.57E-28	A6
chr13:34397886-34398997	2.01E-33	0.553520376	0.136	0.052	5.53E-28	A6
chr3:32676073-32677933	2.09E-33	0.523661896	0.148	0.059	5.76E-28	A6
chr9:40746645-40747774	4.15E-33	0.60312838	0.121	0.044	1.14E-27	A6
chr9:85673702-85674781	7.01E-33	0.537803883	0.128	0.048	1.93E-27	A6
chr11:69797545-69798773	1.01E-32	0.550239598	0.135	0.052	2.77E-27	A6
